restoID,restoName,restoContact,restoAddress,latLng,latitude,longitude,wilayahID
Amb1,Rumah Kopi Sibu-Sibu,0,"Said Perintah, Sirimau, Kel Ahusen, Sirimau, Kota Ambon, Maluku","-3.6971641, 128.1817069",-3.6971641,128.1817069,81.71
Amb2,Padis Kitchen,85254267903,"Jl. Jend. A Yani, Kel Ahusen, Sirimau, Kota Ambon, Maluku","-3.700152999999999, 128.185062",-3.700153,128.185062,81.71
Amb3,Nasi Kelapa Batu Merah,82197992961,"jalan Sultan Hasanudin, Batu Merah, Sirimau, Batu Merah, Sirimau, Kota Ambon, Maluku","-3.6770399, 128.1899829",-3.6770399,128.1899829,81.71
Amb4,Pasar tradisional,0,"Pasar mahardika Kel Rijali, Sirimau, Kota Ambon, Maluku","-3.689605799999999, 128.1826084",-3.6896058,128.1826084,81.71
Amb5,Imperial Restaurant,0,"Jl. Diponegoro No.53, Kel Ahusen, Sirimau, Kota Ambon, Maluku 97127","-3.700631, 128.1825693",-3.700631,128.1825693,81.71
Bac1,RM. Spesifik Aceh,85277775812,"Jl. Teuku Hasan Dek, Kec. Kuta Alam, Banda Aceh","5.554942899999999, 95.33061819999999",5.5549429,95.3306182,11.71
Bac2,RM. Khas Aceh Rayeuk,811689122,"Jl. Tgk Imum Lueng Bata, Kec. Lueng Bata, Banda Aceh","5.5401886, 95.3397172",5.5401886,95.3397172,11.08
Bac3,RM. Dek Gam 2,85277010887,"Jl. T. Panglima Nyam Makam, Doy, Kec. Syiah Kuala, Banda Aceh","5.556970499999999, 95.344551",5.5569705,95.344551,11.71
Bac4,Warung Nasi Hasan 3,8126979965,"Jl. Prof Ali Hasyimi, Pango Raya, kec. Ulee Kareng, Banda Aceh","5.539707400000001, 95.3472472",5.5397074,95.3472472,11.71
Bac5,RM. Ridha Ilahi,85260209461,"Jl. Tgk. Chik Ditiro, Ateuk Pahlawan, Kec. Baiturrahman, Banda Aceh","5.5505267, 95.3261023",5.5505267,95.3261023,11.71
Bbr1,Warung Isau,85246140424,"Jl. Karang Anyar 1, Kel. Loktabat Utara, Kec. Landasan Ulin, Kota Banjar Baru","-3.4344421, 114.8119015",-3.4344421,114.8119015,63.72
Bbr2,Warung Bawah Asam,81359200310,"Jl. Mistar Cokrokusumo RT. 018 RW. 006 Kel. Sungai Tiung, Cempaka, Kota Banjarbaru","-3.4605983, 114.8488562",-3.4605983,114.8488562,63.72
Bbr3,Warung 41,82149767665,"Jl. Mistar Cokrokusumo RT. 008 RW. 003 Kel. Sungai Tiung, Cempaka, Kota Banjarbaru","-3.5163982, 114.8119855",-3.5163982,114.8119855,63.72
Bbr4,Warung Soto Arjuna,81351508558,"Jl. STM Kel. Loktabat Selatan, Kec. Banjarbaru Selatan, Kota Banjarbaru","-3.4607014, 114.8410882",-3.4607014,114.8410882,63.72
Bbr5,Warung Rosi,81251367752,"Jl. A. Yani, Kel. Komet, Kec. Banjarbaru Utara, Kota Banjarbaru","-3.4428155, 114.8237954",-3.4428155,114.8237954,63.72
Bdg1,Dapoer Pandan Wangi,226008838,Jl. Terusan Pasirkoja No. 275,"-6.9287901, 107.5810104",-6.9287901,107.5810104,32.73
Bdg2,RM Asli Laksana,225206836,Jl. Soekarno-Hatta No. 395,"-6.9481783, 107.604909",-6.9481783,107.604909,32.73
Bdg3,RM Ampera,227274844,Jl. Soekarno-Hatta No. 394,"-6.948262199999999, 107.6053482",-6.9482622,107.6053482,32.73
Bdg4,Warung Cepot,226127800,Jl. Dr. Djunjunan No. 155D,"-6.892583399999999, 107.5832217",-6.8925834,107.5832217,32.73
Bdg5,Nasi Bancakan,224203650,Jl. Trunojoyo No. 62,"-6.9017474, 107.6156045",-6.9017474,107.6156045,32.73
Bgr1,Lebak wangi garden,2518612890,"Jl. Raya Parung Bogor No.KM. 39,3, Pemagarsari, Kec. Parung, Bogor, Jawa Barat 16330","-6.452132000000001, 106.7311971",-6.452132,106.7311971,32.01
Bgr2,Rolika Catering (gepuk karuhun),2517535444,Jl. Raya Semplak No. 349 Bogor 16134,"-6.549994099999999, 106.7607513",-6.5499941,106.7607513,32.71
Bgr3,Mie Glosor Mang Cireng,8993649001,"Jl. M.A Salmun, RT.03/RW.06, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124","-6.590319900000001, 106.7917704",-6.5903199,106.7917704,32.71
Bgr4,Cungkring Suryakencana,2517769908,"JL. Suryakencana, Sukasari, Bogor Timur, RT.01/RW.03, Sukasari, Kec. Bogor Tim., Kota Bogor, Jawa Barat 15417","-6.6099307, 106.8044671",-6.6099307,106.8044671,32.71
Bgr5,Soto kuning bogor,85695861813,"L2 , Bogor Junction, Jl. Jend. Sudirman, RT.01/RW.03, Pabaton, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16121","-6.589391399999999, 106.7966503",-6.5893914,106.7966503,32.71
Bli1,Warung Nasi Ayam Kedewatan Ibu Mangku,361974795,"Jl. Raya Kedewatan No.18, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","-8.4835164, 115.2464704",-8.4835164,115.2464704,51.04
Bli2,Warung Nasi Ayam Bu Oki,81353213247,"Perumahan Puri Jimbaran, Jln Celaga Basur No 3Y, Uluwatu 2, Jimbaran, Jimbaran Indonesia","-8.784163, 115.172532",-8.784163,115.172532,51.03
Bli3,Ikan Asap Al Serangn Bumbu Matah,81216214013,"Gg. Buana Asih, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80118","-8.6590058, 115.1881031",-8.6590058,115.1881031,51.71
Bli4,Warung Rujak Glogor,361484810,"Jl. Bukit Tunggal No.27, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80119","-8.6614449, 115.211263",-8.6614449,115.211263,51.71
Bli5,Ayam Betutu Khas Gilimanuk,8179257777,"Jl. Merdeka No.88 No.5, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali","-8.6665029, 115.2383865",-8.6665029,115.2383865,51.71
Blp1,Pepes Tempoyak Ikan Patin,8974711137,Perumahan Kopri Blok B3. No 14 (Taman Bunga),,#VALUE!,,18.71
Blp2,Dapur Miima Kuliner,82279712372,Bandar Lampung,"-5.3971396, 105.2667887",-5.3971396,105.2667887,18.71
Blp3,Bakso Judes Lampung,83177653223,Bandar Lampung,"-5.3971396, 105.2667887",-5.3971396,105.2667887,18.71
Blp4,Yus Catering,0,Pasar Perumnas Way Halim,"-5.377002399999999, 105.2755297",-5.3770024,105.2755297,18.71
Blp5,Kinar Resto,8117288088,Near Mitra Inovasi Negri Sukadanaham Bandarlampung,"-5.4132991, 105.234796",-5.4132991,105.234796,18.71
Bng1,Soto Krandegan Pak Aping,00813 2743 4131,"Jalan Mayjend Sutoyo No. 35, Banjarnegara Jawa Tengah.","-7.392974199999999, 109.6974738",-7.3929742,109.6974738,33.04
Bng2,Mie Ongklok & Sate Sapi ''Pak Tugi'',0,"Jl. Raya Semampir Km. 03, Banjarnegara",,#VALUE!,,33.04
Bng3,TOKO OLEH OLEH KHAS BANJARNEGARA WIRARAJA,0,"Mandiraja Kulon, Mandiraja, Banjarnegara, Jawa Tengah 53473","-7.4532681, 109.5181312",-7.4532681,109.5181312,33.04
Bng4,Pusat oleh-oleh khas dieng,0,"Jl. Raya Batur, Batur, Banjarnegara, Jawa Tengah 53456","-7.2053826, 109.8245502",-7.2053826,109.8245502,33.04
Bng5,Pusat Oleh Oleh Barafood,0,"Al Munawwaroh RT 01 RW 2, Kutabanjarnegara, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53415","-7.399022399999999, 109.6860076",-7.3990224,109.6860076,33.04
Jkt1,Asinan Betawi H. Mansyur (asinan kamboja),0,"Jl. Taman Kamboja No.10, RT.8/RW.11, Rawamangun, Kec. Pulo Gadung, Kota Jakarta","-6.2008342, 106.8849814",-6.2008342,106.8849814,31.75
Jkt2,Soto Betawi H. Ma’ruf,0,"Jl. Pramuka No.64, RT.8/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","-6.1931127, 106.8648176",-6.1931127,106.8648176,31.71
Jkt3,Kedai Nasi Uduk & Ayam Goreng Zainal Fanani,0021-31903863,Jl. Kebon Kacang VIII No.5 Jakarta Pusat,"-6.1878307, 106.8186752",-6.1878307,106.8186752,31.71
